timestamp_utc,project,access_mode,total_views,page_rows,total_response_size,approx_distinct_pages
2026-01-01 00:00:00,commons,desktop,136278,108657,0,106218
2026-01-01 00:00:00,commons,mobile,52002,34998,0,34719
2026-01-01 00:00:00,en,desktop,2513773,863703,0,979037
2026-01-01 00:00:00,en,mobile,7932374,1157699,0,1158950
2026-01-01 00:00:00,vi,desktop,5157,4301,0,3874
2026-01-01 00:00:00,vi,mobile,17671,9402,0,9035
2026-01-01 00:00:00,wikidata,desktop,37587,28606,0,28417
2026-01-01 01:00:00,commons,desktop,137330,108259,0,116141
2026-01-01 01:00:00,commons,mobile,56475,38469,0,33140
2026-01-01 01:00:00,en,desktop,2462698,849095,0,880098
2026-01-01 01:00:00,en,mobile,8204497,1159136,0,943915
2026-01-01 01:00:00,vi,desktop,7444,5731,0,6592
2026-01-01 01:00:00,vi,mobile,26356,13668,0,11853
2026-01-01 01:00:00,wikidata,desktop,33068,26471,0,23444
2026-01-01 02:00:00,commons,desktop,125265,100546,0,113569
2026-01-01 02:00:00,commons,mobile,47479,32279,0,29500
2026-01-01 02:00:00,en,desktop,2381343,843686,0,829884
2026-01-01 02:00:00,en,mobile,7453298,1149731,0,1291844
2026-01-01 02:00:00,vi,desktop,10704,7740,0,7778
2026-01-01 02:00:00,vi,mobile,33354,16386,0,14877
2026-01-01 02:00:00,wikidata,desktop,35058,28785,0,36039
2026-01-01 03:00:00,commons,desktop,117704,93525,0,82768
2026-01-01 03:00:00,commons,mobile,45090,31426,0,31568
2026-01-01 03:00:00,en,desktop,2289008,810671,0,850064
2026-01-01 03:00:00,en,mobile,7432829,1138529,0,1241127
2026-01-01 03:00:00,vi,desktop,17823,13040,0,13114
2026-01-01 03:00:00,vi,mobile,39675,18949,0,18480
2026-01-01 03:00:00,wikidata,desktop,29576,22725,0,29919
2026-01-01 04:00:00,commons,desktop,105373,82602,0,80581
2026-01-01 04:00:00,commons,mobile,44843,30871,0,27025
2026-01-01 04:00:00,en,desktop,2218348,778185,0,709205
2026-01-01 04:00:00,en,mobile,7148640,1106117,0,1347467
2026-01-01 04:00:00,vi,desktop,38937,33267,0,31609
2026-01-01 04:00:00,vi,mobile,44312,20530,0,19079
2026-01-01 04:00:00,wikidata,desktop,29797,23862,0,21983
2026-01-01 05:00:00,commons,desktop,106336,81187,0,80917
2026-01-01 05:00:00,commons,mobile,53976,39828,0,34501
2026-01-01 05:00:00,en,desktop,2244167,776673,0,902992
2026-01-01 05:00:00,en,mobile,7499969,1094631,0,1140184
2026-01-01 05:00:00,vi,desktop,24397,19655,0,17273
2026-01-01 05:00:00,vi,mobile,46140,21400,0,19953
2026-01-01 05:00:00,wikidata,desktop,28155,22517,0,24806
2026-01-01 06:00:00,commons,desktop,109498,83966,0,68447
2026-01-01 06:00:00,commons,mobile,51122,36804,0,37810
2026-01-01 06:00:00,en,desktop,2110333,742576,0,722309
2026-01-01 06:00:00,en,mobile,6684226,1052363,0,1065668
2026-01-01 06:00:00,vi,desktop,21747,17370,0,14908
2026-01-01 06:00:00,vi,mobile,53959,23353,0,24953
2026-01-01 06:00:00,wikidata,desktop,28626,23015,0,24150
2026-01-01 07:00:00,commons,desktop,121113,93760,0,92427
2026-01-01 07:00:00,commons,mobile,46430,31910,0,26524
2026-01-01 07:00:00,en,desktop,2062953,752759,0,754362
2026-01-01 07:00:00,en,mobile,5760831,1038928,0,1346881
2026-01-01 07:00:00,vi,desktop,23729,19440,0,19418
2026-01-01 07:00:00,vi,mobile,52627,22885,0,20382
2026-01-01 07:00:00,wikidata,desktop,28974,22772,0,24326
2026-01-01 08:00:00,commons,desktop,123302,96008,0,80363
2026-01-01 08:00:00,commons,mobile,50992,34701,0,37658
2026-01-01 08:00:00,en,desktop,1942024,724118,0,682678
2026-01-01 08:00:00,en,mobile,5117107,1005833,0,1133043
2026-01-01 08:00:00,vi,desktop,23848,16958,0,16542
2026-01-01 08:00:00,vi,mobile,50867,22286,0,21533
2026-01-01 08:00:00,wikidata,desktop,22992,17548,0,16628
2026-01-01 09:00:00,commons,desktop,127251,96131,0,92793
2026-01-01 09:00:00,commons,mobile,55609,37205,0,30303
2026-01-01 09:00:00,en,desktop,1902476,715550,0,709937
2026-01-01 09:00:00,en,mobile,4756996,986946,0,963921
2026-01-01 09:00:00,vi,desktop,19253,12082,0,12452
2026-01-01 09:00:00,vi,mobile,48420,22109,0,20374
2026-01-01 09:00:00,wikidata,desktop,19521,14449,0,15304
2026-01-01 10:00:00,commons,desktop,133784,102015,0,91597
2026-01-01 10:00:00,commons,mobile,55055,36341,0,38359
2026-01-01 10:00:00,en,desktop,1971920,734400,0,874138
2026-01-01 10:00:00,en,mobile,4764687,997360,0,985029
2026-01-01 10:00:00,vi,desktop,17295,12171,0,11614
2026-01-01 10:00:00,vi,mobile,44472,20697,0,21453
2026-01-01 10:00:00,wikidata,desktop,20365,15191,0,18330
2026-01-01 11:00:00,commons,desktop,147365,111511,0,101433
2026-01-01 11:00:00,commons,mobile,57015,37301,0,35660
2026-01-01 11:00:00,en,desktop,2054028,772848,0,765877
2026-01-01 11:00:00,en,mobile,4809240,1003700,0,1105599
2026-01-01 11:00:00,vi,desktop,15556,11181,0,13038
2026-01-01 11:00:00,vi,mobile,43121,20323,0,18651
2026-01-01 11:00:00,wikidata,desktop,21886,15781,0,15389
2026-01-01 12:00:00,commons,desktop,149312,112726,0,95748
2026-01-01 12:00:00,commons,mobile,61869,38802,0,46525
2026-01-01 12:00:00,en,desktop,2453629,834905,0,873645
2026-01-01 12:00:00,en,mobile,4937892,1023237,0,1135170
2026-01-01 12:00:00,vi,desktop,15461,10748,0,12629
2026-01-01 12:00:00,vi,mobile,46982,21151,0,20848
2026-01-01 12:00:00,wikidata,desktop,23509,17041,0,19645
2026-01-01 13:00:00,commons,desktop,148109,114569,0,112415
2026-01-01 13:00:00,commons,mobile,63892,39815,0,43878
2026-01-01 13:00:00,en,desktop,2615668,857289,0,692443
2026-01-01 13:00:00,en,mobile,5390436,1066138,0,1058387
2026-01-01 13:00:00,vi,desktop,20583,12285,0,11015
2026-01-01 13:00:00,vi,mobile,56737,23719,0,21216
2026-01-01 13:00:00,wikidata,desktop,22792,16763,0,13399
2026-01-01 14:00:00,commons,desktop,160724,120810,0,126735
2026-01-01 14:00:00,commons,mobile,66204,43188,0,46687
2026-01-01 14:00:00,en,desktop,2818433,906102,0,837059
2026-01-01 14:00:00,en,mobile,6030585,1131042,0,1255715
2026-01-01 14:00:00,vi,desktop,25419,14646,0,14393
2026-01-01 14:00:00,vi,mobile,64000,26118,0,25050
2026-01-01 14:00:00,wikidata,desktop,23792,17020,0,17539
2026-01-01 15:00:00,commons,desktop,133896,92315,0,120120
2026-01-01 15:00:00,commons,mobile,71702,46152,0,50373
2026-01-01 15:00:00,en,desktop,3031813,960816,0,822394
2026-01-01 15:00:00,en,mobile,6768819,1196597,0,1417113
2026-01-01 15:00:00,vi,desktop,25772,15424,0,15372
2026-01-01 15:00:00,vi,mobile,65763,27417,0,25053
2026-01-01 15:00:00,wikidata,desktop,26384,18725,0,16217
2026-01-01 16:00:00,commons,desktop,130591,88098,0,89729
2026-01-01 16:00:00,commons,mobile,73969,47244,0,50541
2026-01-01 16:00:00,en,desktop,3235461,1007035,0,1056492
2026-01-01 16:00:00,en,mobile,7498143,1250254,0,1438164
2026-01-01 16:00:00,vi,desktop,22631,14063,0,13960
2026-01-01 16:00:00,vi,mobile,60828,25693,0,22770
2026-01-01 16:00:00,wikidata,desktop,25121,17878,0,17816
2026-01-01 17:00:00,commons,desktop,134005,91392,0,95587
2026-01-01 17:00:00,commons,mobile,72790,45457,0,39142
2026-01-01 17:00:00,en,desktop,3420410,1052544,0,1034705
2026-01-01 17:00:00,en,mobile,8141759,1295927,0,1482021
2026-01-01 17:00:00,vi,desktop,16668,11472,0,9757
2026-01-01 17:00:00,vi,mobile,49705,22290,0,22730
2026-01-01 17:00:00,wikidata,desktop,25577,18635,0,24332
2026-01-01 18:00:00,commons,desktop,143844,97468,0,100799
2026-01-01 18:00:00,commons,mobile,78502,51837,0,49290
2026-01-01 18:00:00,en,desktop,3543204,1075516,0,1186468
2026-01-01 18:00:00,en,mobile,8580678,1317988,0,1453684
2026-01-01 18:00:00,vi,desktop,11982,9157,0,9324
2026-01-01 18:00:00,vi,mobile,35593,17869,0,15578
2026-01-01 18:00:00,wikidata,desktop,35570,27211,0,23355
2026-01-01 19:00:00,commons,desktop,140006,96799,0,108464
2026-01-01 19:00:00,commons,mobile,80357,52807,0,51118
2026-01-01 19:00:00,en,desktop,3617298,1095038,0,1141023
2026-01-01 19:00:00,en,mobile,8747838,1330633,0,1227239
2026-01-01 19:00:00,vi,desktop,9436,7771,0,9250
2026-01-01 19:00:00,vi,mobile,25477,13444,0,14068
2026-01-01 19:00:00,wikidata,desktop,39103,30252,0,39289
2026-01-01 20:00:00,commons,desktop,129794,90988,0,99543
2026-01-01 20:00:00,commons,mobile,84726,57512,0,72455
2026-01-01 20:00:00,en,desktop,3755805,1119560,0,1371628
2026-01-01 20:00:00,en,mobile,8884131,1334058,0,1476899
2026-01-01 20:00:00,vi,desktop,7606,6355,0,6327
2026-01-01 20:00:00,vi,mobile,17811,10243,0,8852
2026-01-01 20:00:00,wikidata,desktop,34593,26471,0,29772
2026-01-01 21:00:00,commons,desktop,135481,90302,0,89563
2026-01-01 21:00:00,commons,mobile,89646,61891,0,67746
2026-01-01 21:00:00,en,desktop,3884594,1143110,0,1107080
2026-01-01 21:00:00,en,mobile,9040498,1332986,0,1231262
2026-01-01 21:00:00,vi,desktop,5886,5007,0,4108
2026-01-01 21:00:00,vi,mobile,12998,7588,0,7967
2026-01-01 21:00:00,wikidata,desktop,34209,26169,0,26482
2026-01-01 22:00:00,commons,desktop,126802,86719,0,101779
2026-01-01 22:00:00,commons,mobile,86518,58203,0,51581
2026-01-01 22:00:00,en,desktop,3935826,1157490,0,1168127
2026-01-01 22:00:00,en,mobile,9115724,1320038,0,1363478
2026-01-01 22:00:00,vi,desktop,5531,4727,0,4874
2026-01-01 22:00:00,vi,mobile,11706,6766,0,5617
2026-01-01 22:00:00,wikidata,desktop,34637,26682,0,26496
2026-01-01 23:00:00,commons,desktop,121263,83909,0,78650
2026-01-01 23:00:00,commons,mobile,87720,61183,0,77069
2026-01-01 23:00:00,en,desktop,3948063,1147071,0,968403
2026-01-01 23:00:00,en,mobile,8848967,1312552,0,1316547
2026-01-01 23:00:00,vi,desktop,5091,4451,0,4042
2026-01-01 23:00:00,vi,mobile,13460,7480,0,8068
2026-01-01 23:00:00,wikidata,desktop,33114,25366,0,26329
2026-01-02 00:00:00,commons,desktop,104596,72571,0,55795
2026-01-02 00:00:00,commons,mobile,80233,57756,0,60892
2026-01-02 00:00:00,en,desktop,3854861,1120402,0,1174882
2026-01-02 00:00:00,en,mobile,8549199,1276332,0,1183296
2026-01-02 00:00:00,vi,desktop,6033,5151,0,5459
2026-01-02 00:00:00,vi,mobile,18502,9949,0,9062
2026-01-02 00:00:00,wikidata,desktop,27626,20742,0,17445
2026-01-02 01:00:00,commons,desktop,109013,72837,0,79261
2026-01-02 01:00:00,commons,mobile,75432,55996,0,48209
2026-01-02 01:00:00,en,desktop,3920318,1124234,0,1327263
2026-01-02 01:00:00,en,mobile,8338645,1241992,0,1266366
2026-01-02 01:00:00,vi,desktop,10523,8557,0,8372
2026-01-02 01:00:00,vi,mobile,26419,13800,0,12749
2026-01-02 01:00:00,wikidata,desktop,29116,22182,0,24387
2026-01-02 02:00:00,commons,desktop,104448,70500,0,93895
2026-01-02 02:00:00,commons,mobile,64581,47989,0,59411
2026-01-02 02:00:00,en,desktop,4078129,1160199,0,1095145
2026-01-02 02:00:00,en,mobile,8380888,1235432,0,1089273
2026-01-02 02:00:00,vi,desktop,15299,10747,0,8947
2026-01-02 02:00:00,vi,mobile,35178,17282,0,18644
2026-01-02 02:00:00,wikidata,desktop,29768,22090,0,21689
2026-01-02 03:00:00,commons,desktop,94688,65397,0,63623
2026-01-02 03:00:00,commons,mobile,69108,53266,0,62092
2026-01-02 03:00:00,en,desktop,4165832,1146584,0,986598
2026-01-02 03:00:00,en,mobile,8440811,1238367,0,1091960
2026-01-02 03:00:00,vi,desktop,21279,14029,0,14121
2026-01-02 03:00:00,vi,mobile,41680,20186,0,20255
2026-01-02 03:00:00,wikidata,desktop,27924,20599,0,21880
2026-01-02 04:00:00,commons,desktop,98384,67513,0,52207
2026-01-02 04:00:00,commons,mobile,61824,46229,0,44341
2026-01-02 04:00:00,en,desktop,4246999,1172489,0,1195049
2026-01-02 04:00:00,en,mobile,8127155,1229155,0,1161993
2026-01-02 04:00:00,vi,desktop,23258,15175,0,13473
2026-01-02 04:00:00,vi,mobile,43912,20952,0,18512
2026-01-02 04:00:00,wikidata,desktop,28949,20290,0,18109
2026-01-02 05:00:00,commons,desktop,99736,71485,0,64012
2026-01-02 05:00:00,commons,mobile,44323,28901,0,36771
2026-01-02 05:00:00,en,desktop,4322750,1191942,0,1192978
2026-01-02 05:00:00,en,mobile,7312263,1190153,0,1280630
2026-01-02 05:00:00,vi,desktop,22169,15015,0,15491
2026-01-02 05:00:00,vi,mobile,44786,20841,0,16698
2026-01-02 05:00:00,wikidata,desktop,29921,21524,0,20983
2026-01-02 06:00:00,commons,desktop,126373,98901,0,78934
2026-01-02 06:00:00,commons,mobile,50303,32932,0,38070
2026-01-02 06:00:00,en,desktop,4375963,1252859,0,996595
2026-01-02 06:00:00,en,mobile,6602627,1147045,0,1213420
2026-01-02 06:00:00,vi,desktop,18350,13215,0,12753
2026-01-02 06:00:00,vi,mobile,52241,23495,0,18240
