project,access_mode,normalized_title,page_title,top_100_appearances,total_top_page_views,best_rank,max_hourly_views,avg_hourly_views_when_ranked
en,desktop,Main Page,Main_Page,72,12634565.0,1,236178,175480.06944444444
en,mobile,Main Page,Main_Page,72,7550482.0,1,144086,104867.80555555556
en,mobile,Nicolás Maduro,Nicolás_Maduro,16,1973115.0,1,217117,123319.6875
en,desktop,Special:Search,Special:Search,72,1429537.0,2,25663,19854.680555555555
en,mobile,Special:Search,Special:Search,72,1096524.0,2,19367,15229.5
en,mobile,Stranger Things,Stranger_Things,72,992898.0,2,29522,13790.25
en,mobile,Stranger Things season 5,Stranger_Things_season_5,72,820481.0,2,42993,11395.569444444445
en,mobile,Wikipedia:Featured pictures,Wikipedia:Featured_pictures,72,793167.0,2,15380,11016.208333333334
en,mobile,Venezuela,Venezuela,16,759658.0,2,92312,47478.625
en,mobile,Dhurandhar,Dhurandhar,72,712234.0,2,14581,9892.138888888889
en,desktop,-,-,72,667157.0,1,197228,9266.069444444445
en,mobile,2026 United States strikes in Venezuela,2026_United_States_strikes_in_Venezuela,14,595223.0,4,58811,42515.92857142857
en,mobile,Avatar: Fire and Ash,Avatar:_Fire_and_Ash,72,555794.0,6,9643,7719.361111111111
en,mobile,Zohran Mamdani,Zohran_Mamdani,66,519326.0,2,23745,7868.575757575758
en,mobile,Millie Bobby Brown,Millie_Bobby_Brown,72,510375.0,5,13203,7088.541666666667
en,mobile,Curt Cignetti,Curt_Cignetti,43,468574.0,2,107593,10897.06976744186
en,mobile,Tommy Lee Jones,Tommy_Lee_Jones,46,462528.0,2,21237,10054.95652173913
en,mobile,Cilia Flores,Cilia_Flores,14,437331.0,4,51776,31237.928571428572
en,desktop,Nicolás Maduro,Nicolás_Maduro,16,415739.0,2,44504,25983.6875
en,mobile,Fernando Mendoza,Fernando_Mendoza,34,404125.0,2,105242,11886.029411764706
en,mobile,Jamie Campbell Bower,Jamie_Campbell_Bower,70,378419.0,11,10580,5405.9857142857145
en,mobile,List of highest-grossing Indian films,List_of_highest-grossing_Indian_films,61,368599.0,5,10079,6042.606557377049
en,desktop,1989 Tiananmen Square protests and massacre,1989_Tiananmen_Square_protests_and_massacre,72,366703.0,2,25795,5093.097222222223
en,mobile,List of Stranger Things episodes,List_of_Stranger_Things_episodes,65,362325.0,8,16908,5574.2307692307695
en,mobile,Hugo Chávez,Hugo_Chávez,16,352709.0,6,36479,22044.3125
en,mobile,Delcy Rodríguez,Delcy_Rodríguez,14,347022.0,5,41194,24787.285714285714
en,mobile,Liam Rosenior,Liam_Rosenior,57,343150.0,3,20295,6020.175438596491
en,mobile,Gian van Veen,Gian_van_Veen,35,332241.0,2,58432,9492.6
en,desktop,Bruce Lee,Bruce_Lee,72,318437.0,3,5648,4422.736111111111
en,mobile,1989 Tiananmen Square protests and massacre,1989_Tiananmen_Square_protests_and_massacre,38,317632.0,2,34395,8358.736842105263
en,mobile,Joe Keery,Joe_Keery,70,308076.0,12,7164,4401.085714285714
en,desktop,2026 United States strikes in Venezuela,2026_United_States_strikes_in_Venezuela,14,305511.0,3,32170,21822.214285714286
en,mobile,Marty Supreme,Marty_Supreme,72,303867.0,9,7522,4220.375
en,mobile,Montauk Project,Montauk_Project,68,298463.0,15,8178,4389.161764705882
en,mobile,Noah Schnapp,Noah_Schnapp,70,284309.0,17,7443,4061.557142857143
en,mobile,XXX (film series),XXX_(film_series),61,284270.0,3,15483,4660.163934426229
en,mobile,Run Away (TV series),Run_Away_(TV_series),62,273489.0,12,9637,4411.112903225807
en,mobile,2026 PDC World Darts Championship,2026_PDC_World_Darts_Championship,52,268662.0,5,22803,5166.576923076923
en,mobile,Maya Hawke,Maya_Hawke,69,257220.0,19,6934,3727.8260869565215
en,mobile,Rama Duwaji,Rama_Duwaji,62,251912.0,11,11625,4063.0967741935483
en,mobile,Luke Littler,Luke_Littler,23,249899.0,3,83162,10865.173913043478
en,mobile,Trinidad Chambliss,Trinidad_Chambliss,28,249338.0,2,60409,8904.92857142857
en,mobile,Manuel Noriega,Manuel_Noriega,14,249291.0,7,30840,17806.5
en,mobile,Charlie Heaton,Charlie_Heaton,69,248497.0,25,6760,3601.4057971014495
en,mobile,Sadie Sink,Sadie_Sink,68,241490.0,23,6512,3551.323529411765
en,mobile,The Housemaid (2025 film),The_Housemaid_(2025_film),66,236667.0,23,5379,3585.8636363636365
en,mobile,Jodi Hildebrandt,Jodi_Hildebrandt,70,230037.0,14,5596,3286.2428571428572
en,desktop,Stranger Things,Stranger_Things,72,229797.0,3,5338,3191.625
en,mobile,Nell Fisher,Nell_Fisher,68,228639.0,26,6413,3362.3382352941176
en,mobile,Natalia Dyer,Natalia_Dyer,67,227507.0,21,6422,3395.626865671642
