timestamp_utc,project,access_mode,total_views,rank_in_segment
2026-01-02 15:00:00,commons,desktop,213380,1
2026-01-02 14:00:00,commons,desktop,208061,2
2026-01-02 13:00:00,commons,desktop,206947,3
2026-01-03 15:00:00,commons,mobile,120651,1
2026-01-03 18:00:00,commons,mobile,104426,2
2026-01-03 23:00:00,commons,mobile,99132,3
2026-01-02 06:00:00,en,desktop,4375963,1
2026-01-02 08:00:00,en,desktop,4352026,2
2026-01-02 05:00:00,en,desktop,4322750,3
2026-01-03 22:00:00,en,mobile,9401263,1
2026-01-03 23:00:00,en,mobile,9243126,2
2026-01-01 22:00:00,en,mobile,9115724,3
2026-01-01 04:00:00,vi,desktop,38937,1
2026-01-03 15:00:00,vi,desktop,33434,2
2026-01-03 14:00:00,vi,desktop,32750,3
2026-01-03 15:00:00,vi,mobile,69117,1
2026-01-03 14:00:00,vi,mobile,68682,2
2026-01-03 16:00:00,vi,mobile,66366,3
2026-01-01 19:00:00,wikidata,desktop,39103,1
2026-01-01 00:00:00,wikidata,desktop,37587,2
2026-01-02 10:00:00,wikidata,desktop,36788,3
