timestamp_utc,project,access_mode,current_top_100_pages,retained_from_previous_hour,retention_rate
2026-01-01 00:00:00,commons,desktop,100,0,0.0
2026-01-01 00:00:00,commons,mobile,100,0,0.0
2026-01-01 00:00:00,en,desktop,100,0,0.0
2026-01-01 00:00:00,en,mobile,100,0,0.0
2026-01-01 00:00:00,vi,desktop,100,0,0.0
2026-01-01 00:00:00,vi,mobile,100,0,0.0
2026-01-01 00:00:00,wikidata,desktop,100,0,0.0
2026-01-01 01:00:00,commons,desktop,100,24,0.24
2026-01-01 01:00:00,commons,mobile,100,66,0.66
2026-01-01 01:00:00,en,desktop,100,69,0.69
2026-01-01 01:00:00,en,mobile,100,58,0.58
2026-01-01 01:00:00,vi,desktop,100,29,0.29
2026-01-01 01:00:00,vi,mobile,100,61,0.61
2026-01-01 01:00:00,wikidata,desktop,100,17,0.17
2026-01-01 02:00:00,commons,desktop,100,30,0.3
2026-01-01 02:00:00,commons,mobile,100,72,0.72
2026-01-01 02:00:00,en,desktop,100,68,0.68
2026-01-01 02:00:00,en,mobile,100,53,0.53
2026-01-01 02:00:00,vi,desktop,100,29,0.29
2026-01-01 02:00:00,vi,mobile,100,67,0.67
2026-01-01 02:00:00,wikidata,desktop,100,23,0.23
2026-01-01 03:00:00,commons,desktop,100,38,0.38
2026-01-01 03:00:00,commons,mobile,100,71,0.71
2026-01-01 03:00:00,en,desktop,100,66,0.66
2026-01-01 03:00:00,en,mobile,100,50,0.5
2026-01-01 03:00:00,vi,desktop,100,35,0.35
2026-01-01 03:00:00,vi,mobile,100,68,0.68
2026-01-01 03:00:00,wikidata,desktop,100,22,0.22
2026-01-01 04:00:00,commons,desktop,100,45,0.45
2026-01-01 04:00:00,commons,mobile,100,71,0.71
2026-01-01 04:00:00,en,desktop,100,62,0.62
2026-01-01 04:00:00,en,mobile,100,60,0.6
2026-01-01 04:00:00,vi,desktop,100,42,0.42
2026-01-01 04:00:00,vi,mobile,100,68,0.68
2026-01-01 04:00:00,wikidata,desktop,100,21,0.21
2026-01-01 05:00:00,commons,desktop,100,39,0.39
2026-01-01 05:00:00,commons,mobile,100,70,0.7
2026-01-01 05:00:00,en,desktop,100,74,0.74
2026-01-01 05:00:00,en,mobile,100,59,0.59
2026-01-01 05:00:00,vi,desktop,100,45,0.45
2026-01-01 05:00:00,vi,mobile,100,74,0.74
2026-01-01 05:00:00,wikidata,desktop,100,22,0.22
2026-01-01 06:00:00,commons,desktop,100,34,0.34
2026-01-01 06:00:00,commons,mobile,100,69,0.69
2026-01-01 06:00:00,en,desktop,100,71,0.71
2026-01-01 06:00:00,en,mobile,100,62,0.62
2026-01-01 06:00:00,vi,desktop,100,44,0.44
2026-01-01 06:00:00,vi,mobile,100,67,0.67
2026-01-01 06:00:00,wikidata,desktop,100,20,0.2
2026-01-01 07:00:00,commons,desktop,100,33,0.33
2026-01-01 07:00:00,commons,mobile,100,68,0.68
2026-01-01 07:00:00,en,desktop,100,71,0.71
2026-01-01 07:00:00,en,mobile,100,67,0.67
2026-01-01 07:00:00,vi,desktop,100,49,0.49
2026-01-01 07:00:00,vi,mobile,100,70,0.7
2026-01-01 07:00:00,wikidata,desktop,100,24,0.24
2026-01-01 08:00:00,commons,desktop,100,39,0.39
2026-01-01 08:00:00,commons,mobile,100,75,0.75
2026-01-01 08:00:00,en,desktop,100,80,0.8
2026-01-01 08:00:00,en,mobile,100,69,0.69
2026-01-01 08:00:00,vi,desktop,100,43,0.43
2026-01-01 08:00:00,vi,mobile,100,72,0.72
2026-01-01 08:00:00,wikidata,desktop,100,19,0.19
2026-01-01 09:00:00,commons,desktop,100,42,0.42
2026-01-01 09:00:00,commons,mobile,100,77,0.77
2026-01-01 09:00:00,en,desktop,100,80,0.8
2026-01-01 09:00:00,en,mobile,100,75,0.75
2026-01-01 09:00:00,vi,desktop,100,50,0.5
2026-01-01 09:00:00,vi,mobile,100,66,0.66
2026-01-01 09:00:00,wikidata,desktop,100,19,0.19
2026-01-01 10:00:00,commons,desktop,100,51,0.51
2026-01-01 10:00:00,commons,mobile,100,80,0.8
2026-01-01 10:00:00,en,desktop,100,77,0.77
2026-01-01 10:00:00,en,mobile,100,78,0.78
2026-01-01 10:00:00,vi,desktop,100,42,0.42
2026-01-01 10:00:00,vi,mobile,100,69,0.69
2026-01-01 10:00:00,wikidata,desktop,100,23,0.23
2026-01-01 11:00:00,commons,desktop,100,56,0.56
2026-01-01 11:00:00,commons,mobile,100,71,0.71
2026-01-01 11:00:00,en,desktop,100,82,0.82
2026-01-01 11:00:00,en,mobile,100,85,0.85
2026-01-01 11:00:00,vi,desktop,100,37,0.37
2026-01-01 11:00:00,vi,mobile,100,73,0.73
2026-01-01 11:00:00,wikidata,desktop,100,24,0.24
2026-01-01 12:00:00,commons,desktop,100,53,0.53
2026-01-01 12:00:00,commons,mobile,100,77,0.77
2026-01-01 12:00:00,en,desktop,100,82,0.82
2026-01-01 12:00:00,en,mobile,100,89,0.89
2026-01-01 12:00:00,vi,desktop,100,41,0.41
2026-01-01 12:00:00,vi,mobile,100,70,0.7
2026-01-01 12:00:00,wikidata,desktop,100,23,0.23
2026-01-01 13:00:00,commons,desktop,100,57,0.57
2026-01-01 13:00:00,commons,mobile,100,75,0.75
2026-01-01 13:00:00,en,desktop,100,78,0.78
2026-01-01 13:00:00,en,mobile,100,84,0.84
2026-01-01 13:00:00,vi,desktop,100,45,0.45
2026-01-01 13:00:00,vi,mobile,100,71,0.71
2026-01-01 13:00:00,wikidata,desktop,100,25,0.25
2026-01-01 14:00:00,commons,desktop,100,54,0.54
2026-01-01 14:00:00,commons,mobile,100,72,0.72
2026-01-01 14:00:00,en,desktop,100,84,0.84
2026-01-01 14:00:00,en,mobile,100,82,0.82
2026-01-01 14:00:00,vi,desktop,100,55,0.55
2026-01-01 14:00:00,vi,mobile,100,73,0.73
2026-01-01 14:00:00,wikidata,desktop,100,23,0.23
2026-01-01 15:00:00,commons,desktop,100,49,0.49
2026-01-01 15:00:00,commons,mobile,100,74,0.74
